Judul,Pengarang,Tahun Terbit,Tersedia
Anak Semua Bangsa,Pramudya Ananta Toer,2006,2
Anatomi Rasa,Ayu Utami,2019,1
Anatomic Habits,James Clear,2018,2
Angels and Demons,Dan Brown,2000,1
Aroma Karsa,Dee Lestari,2018,1
Ayahku [Bukan] Pembohong,Tere Liye,2016,1
Ayat-Ayat Cinta,Habiburrahman El Shirazy,2003,1
Berjuang di Tanah Rantau,Ahmad Fuadi,2013,1
Bidadari Berbisik,Asma Nadia,2020,1
Big Needle,Ken Follet,1974,1
Bilangan Fu,Ayu Utami,2008,1
Birthday Girl,Haruki Murakami,2002,1
Cantik Itu Luka,Eka Kurniawan,2002,1
Catatan Subversif,Mochtar Lubis,1980,1
Cerita Calon Arang,Pramudya Ananta Toer,1957,1
Cinta di Dalam Gelas,Andrea Hirata,2010,1
Code to Zero,Ken Follet,2000,1
Crooked House,Agatha Christie,1949,1
Dangerous Game,Danielle Steel,2017,1
Dear Tomorrow,Maudy Ayunda,2001,1
Death on the Nile,Agatha Christie,1937,1
Derai Sunyi,Asma Nadia,2002,1
Di Kaki Bukit Cibalak,Ahmad Tohari,1986,1
Di Tepi Sungai Piedra Aku Duduk dan Menangis,Paulo Coelho,1994,1
Dry September,William Faulkner,1931,1
Edensor,Andrea Hirata,2013,1
Filosofi Teras,Henry Manampiring,2018,1
From Jail to Jail,Tan Malaka,1970,1
Good Vibes Good Life,Vex King,2018,1
Grit : The Power of Passion and Perseverance,Angela Duckworth,2016,1
Harry Potter : The Complete Series,J. K. Rowling,2001,1
Harry Potter and the Prisoner of Azkabon,J. K. Rowling,1999,1
Heartbreak motel,Ika Natassa,2022,1
Hello,Tere Liye,2023,1
Home $weet loan,Almira Bastari,2022,1
How to be Great,Akmal Musyadat Cholil,2021,1
How to Build Successful Habbit,Dzul Fahmi,2022,1
How to Win Friends and Influence People,Dale Carnegie,2011,1
I Want to Die But I Want to Eat Tteokbokki,Baek Se-Hee,2022,1
Ikigai : The Japanese Secret to A Long and Happy Life,Francesce Miralles,2016,1
Inferno,Dan Brown,2013,1
Kau Sedang Terbentuk,Syahid Muhammad,2023,1
Kisah Tanpa Cerita,Yura K. Shaira,2017,1
Kitab Bahasa Tubuh: Memahami Orang Lain Melalui Bahasa Tubuhnya,Allan dan Barbara Pease,2018,1
Komunikasi Nonverbal: Mengenal Bahasa Tubuh Dasar,Prof. Dr. Alo Liliweri M.S.,2022,1
Laut Bercerita,Leila S. Chudori,2017,1
Laut Pasang 1994,Lilpudu,2023,1
Life is Beautiful,Agnes Davonar,2022,1
Love For Imperfect Things: How To Accept Yourself In A World,Haemin Sunim,2022,1
Lukacita,Valerie Patkar,2022,1
Manajemen Produksi,Daryanto,2021,1
Marmut Merah Jambu,Raditya Dika,2010,1
Melangkah,Js. Khairen,2020,1
Menertawai Yang Dunia Beri,Kiki Mulki Muchtar,2023,1
Mieruko-chan : The Girl That Sees 02,Tomoki Izumi,2023,1
Mind Reader,David J. Lieberman,2023,1
Misteri Gua Jepang,Iwok Abqary,2015,1
Murder on the Orient Express,Agatha Christie,1934,1
Never Split The Difference,Chris Voss,2005,1
Nggak Apa-Apa Kalau Sedih Nangis Aja,Anastasia Satriyo M.Psi. PSI.,2023,1
No More Holiday Blue,Wayne W. Dyer,2015,1
Normal People,Sally Rooney,2018,1
One Piece 97,Eiichiro Oda,2021,1
Orang Manado Tionghoa,Hendri Gunawan,2023,1
Outliers,Malcolm Gladwell,2012,1
Pergi,Tere Liye,2018,1
Pulang,Tere Liye,2018,1
Rich Dad Poor Dad,Robert T. Kiyosaki,1997,1
Rindu,Tere Liye,2014,1
Romeo and Juliet,William Shakespeare,1597,1
Ronggeng Dukuh Paruk,Ahmad Tohari,1982,1
Rumah Kaca,Pramoedya Ananta Toer,2015,1
Rumah Teteh,BriiStory,2019,1
Sesuk,Tere Liye,2022,1
Sewu Dino,SimpleMan,2019,1
Skripsick: Derita Mahasiswa Abadi,Chara Perdana,2014,1
Tanah Para Bandit,Tere Liye,2023,1
Teman Tapi Menikah,Ayudia Bing Slamet & Ditto Percussion,2016,1
Tenggelamnya Kapal van der Wijck,Hamka,1938,1
Tentang Kamu,Tere Liye,2016,1
Terpikat,Ghefira Zakhira,2022,1
The A.B.C. Murders,Agatha Christie,1936,1
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892,1
The Da Vinci Code,Dan Brown,2003,1
The Fountains of Silence,Ruta Sepetys,2019,1
The Hating Game,Sally Thorne,2016,1
The Hunger Games,Suzanne Collins,2008,1
The Lost Symbol,Dan Brown,2009,2
The Murder of Roger Ackroyd,Agatha Christie,1926,1
The Mysterious Affair at Styles,Agatha Christie,1920,2
The Power of Habit,Charles Duhigg,2012,1
The Rise of Majapahit,Setyo Wardoyo,2014,1
The Silent Patient,Alex Michaelides,2019,1
Underground,Ika Natassa,2016,1
Without a Trace,Danielle Steel,2023,1
Worthy Opponents,Danielle Steel,2023,1
You Do You,Fellexandro Ruby,2020,2
Zoya,Danielle Steel,1987,2
Sunset Bersama Rosie,Tere Liye,2014,2
